,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",0.05,-0.07,-0.09,-0.18,0.34,-0.04,-0.07,0.02,0.12,0.2,-0.22,-0.04,destination
"49 St (N,R,W)",0.11,-0.06,-0.06,-0.15,0.15,0.04,-0.04,0.0,0.04,0.09,-0.13,0.04,destination
"5 Av/53 St (E,M)",0.02,-0.09,-0.08,-0.18,0.39,-0.05,-0.08,0.03,0.1,0.25,-0.24,-0.05,destination
"5 Av/59 St (N,R,W)",0.05,-0.08,-0.07,-0.17,0.25,0.04,-0.07,0.02,0.11,0.14,-0.21,0.03,destination
50 St (1),0.1,-0.06,-0.06,-0.15,0.17,0.02,-0.04,0.0,0.06,0.11,-0.13,0.02,destination
"50 St (C,E)",0.09,-0.06,-0.03,-0.12,0.09,0.06,-0.02,0.0,0.02,0.06,-0.09,0.05,destination
50 St (D),0.01,-0.04,0.0,-0.05,0.12,-0.02,-0.03,0.02,0.04,0.11,-0.1,-0.02,destination
52 St (7),-0.01,0.0,0.03,0.05,-0.03,-0.02,0.04,-0.02,-0.02,-0.03,0.05,0.0,residential
53 St (R),0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.01,0.0,0.0,-0.01,0.01,residential
55 St (D),0.01,-0.03,0.0,-0.07,0.13,-0.02,-0.04,0.03,0.03,0.13,-0.1,-0.02,destination
57 St (F),0.06,-0.07,-0.05,-0.16,0.24,0.01,-0.05,0.02,0.1,0.13,-0.18,0.01,destination
"57 St-7 Av (N,Q,R,W)",0.09,-0.07,-0.07,-0.14,0.16,0.04,-0.05,0.01,0.07,0.1,-0.15,0.03,destination
"59 St (N,R)",-0.01,0.01,-0.01,0.02,0.01,0.01,0.01,0.01,-0.02,0.02,-0.01,0.0,residential
"59 St-Columbus Circle (A,B,C,D,1)",0.07,-0.07,-0.04,-0.13,0.16,0.03,-0.05,0.01,0.08,0.08,-0.13,0.03,destination
61 St-Woodside (7),0.0,0.02,0.01,0.04,-0.04,-0.02,0.02,-0.01,-0.01,-0.03,0.04,0.0,residential
"63 Dr-Rego Park (M,R)",-0.01,0.0,0.02,0.04,-0.03,0.0,-0.01,-0.02,0.0,-0.02,0.07,0.0,residential
"65 St (M,R)",-0.01,0.03,0.0,0.03,-0.05,0.02,0.04,0.0,-0.04,-0.04,0.05,0.01,residential
66 St-Lincoln Center (1),0.1,-0.08,-0.03,-0.12,0.13,0.01,-0.04,0.0,0.06,0.08,-0.08,0.01,destination
"67 Av (M,R)",-0.02,0.0,0.02,0.08,-0.05,-0.02,0.0,-0.02,-0.03,-0.02,0.1,-0.02,residential
68 St-Hunter College (6),0.04,-0.09,0.02,-0.13,0.24,-0.06,-0.07,0.03,0.13,0.16,-0.17,-0.06,destination
69 St (7),0.0,0.01,0.02,0.03,-0.04,-0.01,0.03,0.0,-0.02,-0.04,0.03,0.01,residential
"7 Av (B,Q)",0.02,-0.07,0.03,0.02,0.05,-0.02,0.01,-0.03,-0.01,0.01,0.03,0.01,residential
"7 Av (E,B,D)",0.06,-0.07,-0.05,-0.15,0.21,0.0,-0.04,0.02,0.07,0.13,-0.16,0.01,destination
"7 Av (F,G)",0.01,-0.07,0.0,0.0,0.06,0.03,-0.01,0.0,-0.01,0.04,-0.02,0.01,residential
